id;name;url;referral_code;interval_minutes;min_payout;max_payout;has_ref_program;ref_payout_percent;comments;is_paused;created_at;updated_at;slug;meta_title;meta_description;meta_keywords;has_low_balance
165;X-Faucet;http://x-faucet.xyz/?r=;13vynwkj3npqtyr7ejvbhcovkwncebduvj;1;10;1000;1;50;;0;7/01/2017 16:25;20/05/2017 14:01;x-faucet;Free Bitcoin - you earn up to 1000 satoshis every minute!;X-Faucet, a source of bitcoins! Bitcoin faucet that gives you up to 1000 satoshis every minute. Share this faucet and get 50% referral commission!;Free bitcoin, bitcoin, bitcoins, faucet, bitcoin faucet, satoshi, FaucetBox, rewards, satoshis, free satoshis, 1000 satoshis, earn bitcoin, get free bitcoin, 50% referral commission, every minute, get satoshis, earn satoshis, crypto currency;0
166;Konstantinova;https://konstantinova.net/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;1;7;25;1;25;;0;7/01/2017 16:34;27/04/2017 07:05;konstantinova;Konstantinova: Get Free bitcoin now;Free Bitcoin Faucet. Rewards: 13 to 33 satoshi every time.;Bitcoin, BTC, Bitcoin faucet, Earning online, Earn bitcoin, Earn satoshi, Cryptocurrency;0
167;Bitcoin Faucetdog;http://fausetdog.ru/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;5;1;100;1;10;;0;7/01/2017 16:41;5/05/2017 03:00;bitcoin-faucetdog;Bitcoin Faucetdog;Claim upto 100 Satoshi Every 5 Minutes;Bitcoin, faucetdog, satoshi, claim free bitcoin, bitcoins;0
169;Fautsy;http://www.fautsy.com/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;1;15;30;1;25;;0;12/01/2017 21:01;12/01/2017 21:01;fautsy;Fautsy - Claim 15-30 Satoshi Every Second;Fautsy - Claim 15-30 Satoshi Every Second. Referral commission is 25%, payout via FaucetHub.;Fautsy, Bitcoin, Satoshi, Get Free Bitcoins, FaucetHub;0
172;IFaucet;http://ifaucet.net/?ref=;9182;1;1;60000;1;100;;0;16/01/2017 20:15;16/01/2017 20:15;ifaucet;Biggest free Bitcoin / Dogecoin / Litecoin / DASH faucets list;Biggest free Bitcoin / Dogecoin / Litecoin / DASH faucets list in the world;Bitcoin, make bitcoin, free, list, Big faucet collection, faucet, collection, wallet, earn, earning bitcoin, free, bitcoin faucets, satoshi, Dogecoin, Litecoin, BTC, LTC, DXG, Doge, rotator;0
173;BitcoBear;https://bitcobear.com/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;60;100;250;1;20;;0;16/01/2017 20:25;3/07/2017 18:01;bitcobear;BitcoBear;BitcoBear wants to give you loads and loads of free satoshis. But hurry before the bear gets them all!;BitcoBear, Bear, satoshis, Bitcoin, get free bitcoins;0
174;BitcoBear2;https://bitcobear.com/faucet_2/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;10;10;250;1;20;;0;16/01/2017 20:29;29/06/2017 23:02;bitcobear2;BitcoBear2;BitcoBear2 wants to give you loads and loads of free satoshis. But hurry before the bear gets them all!;BitcoBear2, Bear, satoshis, Bitcoin, get free bitcoins;0
175;BitcoBear3;https://bitcobear.com/faucet_3/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;10;10;250;1;20;;0;16/01/2017 20:31;29/06/2017 23:02;bitcobear3;BitcoBear3;BitcoBear3 wants to give you loads and loads of free satoshis. But hurry before the bear gets them all!;BitcoBear3, Bear, satoshis, Bitcoin, get free bitcoins;0
176;BitcoBear4;https://bitcobear.com/faucet_4/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;10;10;250;1;20;;0;16/01/2017 20:33;3/07/2017 10:01;bitcobear4;BitcoBear4;BitcoBear4 wants to give you loads and loads of free satoshis. But hurry before the bear gets them all!;BitcoBear4, Bear, satoshis, Bitcoin, get free bitcoins;0
177;BitcoBear5;https://bitcobear.com/faucet_5/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;10;10;250;1;20;;0;16/01/2017 20:36;3/07/2017 10:01;bitcobear5;BitcoBear5;BitcoBear5 wants to give you loads and loads of free satoshis. But hurry before the bear gets them all!;BitcoBear5, Bear, satoshis, Bitcoin, get free bitcoins;0
181;Free4Faucet;http://www.free4faucet.com/?uniq=;108983810357c1528fdf3e6;15;100;800;1;50;;0;17/01/2017 19:21;10/06/2017 15:03;free4faucet;Grow your business, expand your site or earn bitcoin - Free4faucet;Earn bitcoin from claiming on faucets and collecting bonuses!;Free bitcoin, free rotator, create a rotator, earn bitcoin, faucet link builder, bitcoin offers, bitcoin surveys, bitcoin videos;0
183;Kiixa;http://kiixa.com/?r=;admin@freebtc.website;1;50;50;1;50;;0;18/01/2017 18:18;20/06/2017 04:01;kiixa;Kiixa Xapo Faucet;Free Bitcoin every minute + 50% Referral Commission - instant payments of 50 satoshis every minute!;Kiixa, Xapo, Faucet, Bitcoin, Free Bitcoin, Satoshis, free bitcoin every minute;0
185;TrustBtcFaucet;http://www.trustbtcfaucet.com/?ref=;freebtc.website;5;50;50;1;50;;0;28/01/2017 15:13;4/07/2017 19:01;trustbtcfaucet;Free bitcoins every 5 minutes!Join TrustBtcFaucet to get bitcoins now;TrustBtcFaucet.com is a trusted bitcoin faucet that you can earn free bitcoins every 5 minutes. Win up to $300 in Bitcoins every hour.;free bitcoins,bitcoin faucet,free satoshi,free btc,earn bitcoin;0
186;BitEnergy;https://bitenergy.co/?ref=;1023;5;500;500;1;7;;0;28/01/2017 20:51;22/04/2017 20:03;bitenergy;BitEnergy Faucet - Claim 500 Satoshis Every 5 Minutes!;The world's highest paying faucet - pays 500 satoshis every 5 minutes, with upgrade options available. Claim now!;bitcoin, cryptocurrency, faucet, dogecoin, satoshi, cryptotechnology, blockchain;0
191;Bit Fun;http://bitfun.co/?ref=;8B9CAA5AB1DA;0;1;250;1;50;;0;6/02/2017 19:36;17/06/2017 00:01;bit-fun;Bit Fun - Free Bitcoin Faucet;Play games, have fun, earn bitcoin! Claim every 3 minutes. Free withdrawals. 50% lifetime referral commission.;Bit Fun, Bitcoin, Satoshi, Bitcoin Games, Bitcoin Offers;0
195;BTC Source;http://btcsource.eu/?id=;882585;60;70;300;1;10;;0;22/02/2017 20:57;8/04/2017 21:00;btc-source;Home - BTC Source;Free Bitcoins for XAPO users. Best paying faucets list. Only 300 satoshi withdraw amount!;Xapo Faucet, Xapo Wallet, BTC Source, faucets list, Free Bitcoin, Free Satoshi;0
196;Field Bitcoins;http://fieldbitcoins.com/?ref=;q25wc85y499939;5;12;12;1;50;5 minutes - 12 satoshi, 10 minutes - 20 satoshi, 15 minutes - 27 satoshi, 30 minutes - 43 satoshi, 1 hour - 56 satoshi, 4 hours - 106 satoshi, 1 day - 190 satoshi;0;23/02/2017 21:19;23/02/2017 21:19;field-bitcoins;Field Bitcoins - Free Bitcoin Faucet;Field Bitcoins is a bitcoin faucet with a difference...YOU decide how often to claim! Instant and weekly payment options. 50% referral commission.;btc,bitcoin,freebitcoin,free bitcoin,faucet,bitcoin faucet,win bitcoin,get free bitcoins,win free bitcoins,mining,xapo,satoshi;0
202;FreeBits;http://freebits.racing?id=;391;60;100;100000;1;1;;0;25/02/2017 22:04;13/03/2017 01:02;freebits;Freetbits - Free Bitcoin Faucet - Earn Free Bitcoin every Hour;Earn Satoshi / Bitcoin with our Faucet simply resolving a Captcha. You can earn more Bitcoin with our referral system. Please Claim and Come Back again.;Earn,Satoshi,Bitcoins,Faucet,BTC,bitcoin, free bitcoin, faucet, bitcoin faucet, win bitcoin, get free bitcoins, win free bitcoins;0
203;BitcoinBow;http://www.bitcoinbow.com/r=;mJhwyq7j;10;30;60;1;25;100% loyalty system, up to 500% bonuses.;0;25/02/2017 22:48;16/05/2017 09:01;bitcoinbow;BitcoinBow - Bitcoin Faucet;Free Bitcoin Faucet - Get free bitcoins every 10 minutes. 25% referral program, 100% loyalty system, up to 500% bonuses.;freebtc, free bitcoin, bitcoin, Best Faucet, Bitcoin Bow, get bitcoin;0
204;Moon Faucet;http://moonfaucet.com?ref=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;20;50;500;1;40;"Payouts every 7 days directly to your address,
Payout threshold of 20000 Satoshi.";0;26/02/2017 20:33;16/03/2017 22:41;moon-faucet;Moonfaucet - free bitcoin every 20 min, earn 40% referral commission!;Free Bitcoin faucet: Claim random amounts every 20 minutes! Earn passive income with 40% referral commission. Weekly payouts, 20k Satoshi payout threshold.;Bitcoin Faucet, Earn Bitcoins, Earn Satoshi, free bitcoin, free satoshi, free bitcoins, free bitcoin, bitcoin free, bitcoin faucet, get free bitcoins, earn free bitcoins, earn;0
205;Hot Coins;http://hotcoins.cf/?id=;215707;10;30;70;1;10;;0;26/02/2017 20:40;20/06/2017 21:02;hot-coins;Hot Coins Bitcoin Faucet;HOT Coins is a Free Bitcoin Game. Catch coins every 10 minutes, you can also win a Jackpot.;Hot Coins, Bitcoin Faucet, Earn Bitcoins, Earn Satoshi, free bitcoin, free satoshi, free bitcoins, free bitcoin, bitcoin free, bitcoin faucet, get free bitcoins, earn free bitcoins, earn;0
206;FaucetMega;http://faucetmega.com/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;60;60;80;1;60;60 (57.7%), 70 (41.2%), 80 (3%) satoshi every 60 minutes.;0;26/02/2017 20:47;31/05/2017 05:03;faucetmega;FaucetMega - The Only Faucet You Will Ever Need;"Claim 60 (57.7%), 70 (41.2%), 80 (3%) satoshi every 60 minutes. Pays to FaucetHub.io registered Bitcoin address.				";FaucetMega, Bitcoin Faucet, Earn Bitcoins, Earn Satoshi, free bitcoin, free satoshi, free bitcoin, bitcoin free, bitcoin faucet, get free bitcoins;0
207;BitUniverse;https://bituniverse.net/ref/;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;10;10;40;1;20;;0;26/02/2017 20:57;25/05/2017 04:08;bituniverse;bitUniverse: Get Free bitcoin now!;A bitcoin faucet. Rewards: 10 to 40 satoshi every 5 mins.;bitcoin, BTC, Bitcoin faucet, Earning online, Earn bitcoin, Earn satoshi, Cryptocurrency;0
210;Marxian Roll Faucet;http://www.marxianroll.com/?ref=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;10;70;500;1;10;;0;11/03/2017 21:52;11/03/2017 21:52;marxian-roll-faucet;Marxian Roll - Bitcoin Faucet - Earn 100 to 500 mbits every 10 minutes;Marxian Roll is a free bitcoin faucet where you can get 70 to 500 bits in every 10 minutes,Free Bitcoin.;Bitcoin, Game, Free, Technology, Finance, Computers, Education, Universities, Lifestyle, Downloads, Games,Bitpearl,Pearl,Faucet,10 minutes,bitcoin faucet,free bitcoin, google, Roll, Martian, Marx, Martian, Alien;0
211;BTC Leets;http://btcleets.xyz/?ref=;13;30;80;110;1;10;;0;17/03/2017 18:51;15/06/2017 06:03;btc-leets;Faucet - Bitcoin Leets;Bitcoin Leets Faucet - Claim 80-110 Satoshi Every 30 Minutes, Referral Commision is 10%. Instant withdraw to faucethub!;Bitcoin, Bitcoin Leets, FaucetHub, Faucet, Free Bitcoins, Satoshis;0
214;BitCompound;https://www.bitcompound.io?ref=;freebtcwebsite;60;150;150;1;50;Win 1% of your compound balance EVERY day!;0;16/04/2017 20:19;16/04/2017 20:19;bitcompound;BITcompound - Free Bitcoin Faucet;Unique bitcoin faucet with unlimited earning potential! Win 1% of your compound balance EVERY day!;bitcoin, free bitcoin, free bitcoins, faucet, bitcoin faucet, win bitcoin, win bitcoins;0
216;MafiaCoins;http://www.mafiacoins.net/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;90;333;333;1;50;;0;13/05/2017 19:10;30/06/2017 18:04;mafiacoins;MafiaCoins - Collect up to 333 Satoshi Every 90 Minutes.;Collect up to 333 Satoshi Every 90 Minutes, and 50% referral income.;Mafia Coins,Satoshis,Free Bitcoin,Mafia,Coin,FaucetHub;0
217;DigiCoin;http://digicoin.website/site/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;15;60;1000;1;25;;0;7/06/2017 22:54;7/06/2017 22:54;digicoin;DigiCoin - Get up to 1000 satoshis every 15 minutes;Get up to 1000 satoshis every 15 minutes, and 25% referral commission from each of your referrals. In order to get payouts you need a FaucetHub account.;DigiCoin,Digi Coin, Free Bitcoin, Bitcoin,FaucetHub,Satoshis;0
218;Faucet Planet;http://faucetplanet.in/?ref=;freebtcwebsite;30;200;200;1;20;;0;15/06/2017 11:13;4/07/2017 07:02;faucet-planet;Faucet Planet | Home Free Bitcoins;Next Generation Bitcoin Faucet With Games, Forums, Chat Options with 100 satoshi every 5 minutes.;faucet planet, bitcoin, faucet, xapo, satoshi, bitcoins, currency, get free bitcoins, claim free satoshis, bitcoin payout;0
219;Free Bitcoin Faucet;http://www.yourfreecoin.com/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;20;30;10000;1;25;;0;17/06/2017 18:55;17/06/2017 18:55;free-bitcoin-faucet;Free Bitcoin Faucet | YourFreeCoin.com;Free Bitcoin Faucet - Earn 30 to 10,000 Satoshis every 20 Minutes, refer and earn 25% commission on every claim!;Free Bitcoin Faucet,Bitcoin, Free Bitcoins,Your Free Coin,Satoshi;0
221;WokeFaucet;http://wokefaucet.com/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;60;80;120;1;10;;0;7/07/2017 13:07;7/07/2017 13:07;wokefaucet;WokeFaucet;WokeFaucet - every 60 minutes you can earn between 80 and 120 Satoshi. Your earnings goes directly to your FaucetHUB account.;Satoshi,Bitcoin,WokeFaucet,FaucetHub;0
222;Viral Alert Crypto Faucet;http://www.viral-alert.com/crypto-faucet/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;60;55;1000;1;10;;0;10/07/2017 23:02;10/07/2017 23:02;viral-alert-crypto-faucet;crypto-faucet - Hyip Monitor;Welcome to Viral Alert Crypto Faucet - Solve the captcha and enter your bitcoin address. Automatic payment upon reaching 1,000 satoshi.;Viral Alert,Crypto,Faucet,Crypto Faucet,Free Bitcoin,satoshi;0
223;Lands of Chaos;"http://www.landsofchaos.online?view=claim&amp;r=";13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;30;100;100;1;25;;0;12/07/2017 11:24;12/07/2017 11:24;lands-of-chaos;Lands of Chaos Bitcoin Faucet;Lands of Chaos is an MMORPG where players may cash out in bitcoin. Earn 25 satoshi for every claim your referrals make.;Lands of Chaos,MMORPG,bitcoin,satoshi,cash out in bitcoin,bitcoin faucet;0
224;CoinGainGuru Bitcoin Faucet;http://btc4free.today/?ref=;49013;5;19;25;1;20;;0;12/07/2017 11:33;12/07/2017 11:33;coingainguru-bitcoin-faucet;Bitcoin Faucet by COINGAINGURU - BTC4FREE - Bitcoin for free;Bitcoin Faucet by COINGAINGURU -Here you can get Bitcoin for free - claim some Satoshi every 5 minutes and earn more free Bitcoin with our Faucet List.;Bitcoin, faucet, bitcoin faucet, free Bitcoin, Bitcoin for free, win bitcoin, get free bitcoins, win free bitcoins, mining, xapo, satoshi, instant payout, faucethub, coingainguru, btc for free;0
225;MY115 Faucet;http://my115.net/?ref=;10889;5;14;14;1;20;;0;12/07/2017 11:37;12/07/2017 11:37;my115-faucet;MY115 Faucet - No Time Limit Instant Payout;Earn unlimited free bitcoins on my115 faucet. Payments directly into faucethub.;free bitcoins, bitcoin faucet, faucethub,unlimited free bitcoins;0
226;Metal Faucet;http://metalfaucet.info/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;1;5;5;1;50;Some of content is in Russian.;0;12/07/2017 11:44;12/07/2017 11:44;metal-faucet;Free BTC | Metalfaucet;Metal Faucet - Claim 5 satoshi every second!;Metal Faucet, satoshi,free bitcoin,bitcoin faucet;0
227;BTCinBTC;http://btcinbtc.com/faucet/?ref=;26486;5;15;30;1;10;;0;12/07/2017 11:54;12/07/2017 11:54;btcinbtc;BTCinBTC Faucet - No Time Limit Instant Payout;Earn unlimited free bitcoins on BTCinBTC faucet. Payments directly into FaucetHub.;BTCinBTC,unlimited free bitcoins,FaucetHub,no time limit,instant payout;0
228;BTC Safari;http://btcsafari.com/faucet?refer=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;15;30;100;1;10;;0;12/07/2017 12:00;12/07/2017 12:00;btc-safari;BTCSAFARI.COM;Welcome to next generation Free Bitcoin Faucet. Get 30 - 100 Satoshi for free right now!;BTC Safari, free, bitcoin, faucet, claim, reward, satoshi, bitcoins, earn, game, win, Free Bitcoin Faucet;0
229;BitcoinsBest;http://bitcoinsbest.com/freebitcoin/?ref=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;5;20;20;1;50;;0;12/07/2017 12:08;12/07/2017 12:08;bitcoinsbest;Best Bitcoin Dice Game Faucet;Bitcoin Dice is a free game you can play to earn real bitcoins. Play every 5 minutes and earn 50% referral commissions.;bitcoin dice, Bitcoin, Game, Bitcoin Faucet, Free Bitcoins, Cryptocurrency, Free Money, Easy Money, Games;0
230;Hue Faucet;https://huefaucet.xyz/ref/;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;5;10;40;1;10;;0;12/07/2017 12:15;12/07/2017 12:15;hue-faucet;HueFaucet: Bitcoin Faucet and Offerwall;HueFaucet is a bitcoin faucet where you can claim 10 to 40 satoshi every 5 mins. Participate in our free OfferWall!;bitcoin, BTC, Bitcoin faucet, Earning online, Earn bitcoin, Earn satoshi, Cryptocurrency, Offerwall;0
231;BitLucky;https://bitlucky.io/ref/;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;10;40;5;1;10;;0;12/07/2017 12:22;12/07/2017 12:22;bitlucky;"BitLucky: Bitcoin Faucet &amp; Offerwall";BitLucky is a bitcoin faucet that offers 10 to 40 satoshi every 5 mins. Participate in out free offer wall!;BitLucky, bitcoin, BTC, Bitcoin faucet, Earning online, Earn bitcoin, Earn satoshi, Cryptocurrency, Offerwall;0
232;AT Spot;http://at-spot.com/?ref=;4455;5;16;16;1;10;;0;12/07/2017 12:26;12/07/2017 12:26;at-spot;AT-SPOT Faucet - Top Bitcoin Faucet;A top notch bitcoin faucet. Rewards 10 to 40 satoshi every 5 mins to your FaucetHub wallet.;bitcoin, BTC, Bitcoin faucet, Earning online, Earn bitcoin, Earn satoshi, Cryptocurrency, Offerwall;0
234;Jacob's Faucet;http://jacobsfaucet.com/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;15;25;55;1;10;;0;12/07/2017 12:38;12/07/2017 12:38;jacob-s-faucet;Jacob's Faucet - Free 25 Satoshi Every 15 Minutes;Jacob's Faucet - Free 25 Satoshi Every 15 Minutes paid to your FaucetHub account.;Jacob's Faucet,Free Satoshi,FaucetHub,Free Bitcoin, FaucetHub Faucet,Bitcoin;0
235;CoinAd;http://bit.coinad.info/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;10;20;10000;1;10;;0;12/07/2017 12:50;12/07/2017 12:50;coinad;Welcome to CoinAd faucet!;Welcome to CoinAd faucet! Get up to 10000 Satoshis every 10 minutes directly to your Faucethub account.;CoinAd,Satoshis,FaucetHub,CoinAd Faucet, Bitcoin, Get Free Bitcoin;0
236;GoBits;http://www.gobits.io/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;1;10;50;1;50;;0;17/07/2017 19:58;17/07/2017 19:58;gobits;GoBits - 10 to 50 satoshi every 1 minute;Claim 10 to 50 satoshis every minute with GoBits.io. Claims paid to your FaucetHub wallet. Get 50% referral income!;GoBits, Go Bits,Satoshis,FaucetHub,Free Bitcoin,Free Satoshis;0
237;Captchas Rocks Bitcoin faucet;https://captchas.rocks/;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;30;50;250;1;5;;0;22/07/2017 19:15;22/07/2017 19:15;captchas-rocks-bitcoin-faucet;Captchas Rocks Bitcoin Faucet;Free Bitcoin faucet with cumulative jackpot. Claim 50, 100, 125, 150, or 250 Satoshis every 30 minutes, payouts by FaucetHub.;Free Bitcoin faucet,cumulative jackpot,FaucetHub,Satoshis,Captchas Rocks,Bitcoin Faucet;0
238;Bitaler;http://bitaler.com/btc/?ref=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;120;50;5000;1;100;;0;6/08/2017 13:43;6/08/2017 13:43;bitaler;Bitaler - Earn 50 to 1500 Satoshis every 120 minutes;Earn 50 up to 1500 every 120 minutes, and get paid via your FaucetHub account. Offers many promotions and specials.;Bitaler,Satoshis,FaucetHub,Free Bitcoin,Promotions,Specials;0
239;Bitcoin Faucet CA;http://bitcoinfaucet.ca/bitcoin-faucet/?r=;13vYNWKj3npQTYr7EJVBhcoVkwncEbDUvJ;30;75;25000;1;25;;0;11/08/2017 22:11;11/08/2017 22:11;bitcoin-faucet-ca;Bitcoin Faucet Claim free bitcoin | BitcoinFaucet.ca;Claim free satoshi rewards every 30 minutes from out bitcoin faucet here at bitcoinfaucet.ca. This bitcoin faucet rewards users with free bitcoin daily.;bitcoinfaucet.ca,bitcoin faucet rewards,free bitcoin,free satoshi rewards,bitcoin faucet;0
